Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	BrainSegVolNotVentSurf	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	SupraTentorialVolNotVentVox	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol
sub-001_T1w	7843.9	317.4	15116.5	61420.7	9154.3	3539.9	4341.4	1839.2	962.1	2610.3	22227.5	4272.2	1811.0	917.9	453.9	4215.6	7.8	473.5	4349.7	264.1	14361.3	62489.8	8054.3	3578.7	4765.5	2073.4	4879.6	2127.6	678.8	4306.0	11.3	313.7	0.0	750.2	0.0	0.0	0.0	0.0	0.0	212.2	970.2	583.9	633.1	582.3	920.9	1257934.0	1240669.0	1240568.92417	275586.889484	272380.990239	547967.879724	239196.088783	237615.955666	476812.044448	61060.0	735413.879724	1102974.92417	1090112.92417	1085758.0	1723803.0	0.811412	1.111914	31.0	34.0	65.0	1550302.42817
sub-002_T1w	6596.6	178.2	14837.4	62424.3	8049.6	4359.2	5273.7	2043.4	789.4	2029.2	22419.9	4422.8	1912.0	946.4	544.7	4435.3	14.8	501.4	7106.2	177.2	13803.7	60709.9	7782.2	4343.5	5234.6	2072.0	4197.1	1973.2	650.7	4335.0	8.9	567.6	0.0	960.2	0.0	0.0	0.0	0.0	0.0	117.9	1073.0	632.0	530.4	577.8	1049.6	1166968.0	1148909.0	1148466.34169	253118.749501	251616.488597	504735.238099	215415.397662	213524.705927	428940.103589	62789.0	692079.238099	1014581.34169	1000068.34169	996787.0	1549529.0	0.792701	1.052568	23.0	22.0	45.0	1472141.96435
sub-003_T1w	3972.9	262.2	14761.3	57834.0	7824.1	3072.2	3360.3	1489.2	887.9	1803.1	17953.7	4474.5	1654.6	1093.8	335.4	3586.9	14.8	351.8	5289.0	193.1	13549.5	59531.4	6504.3	3232.2	4530.3	1615.1	4461.5	1691.6	497.0	3387.6	25.0	355.8	0.0	1072.5	0.0	0.0	0.0	0.0	0.0	98.1	811.9	441.3	699.4	881.1	747.3	1099845.0	1086548.0	1086097.72613	248583.805207	252590.323255	501174.128461	192935.307671	193341.29	386276.597671	52715.0	672862.128461	953016.726132	943377.726132	940527.0	1503738.0	0.79116	1.081696	45.0	35.0	80.0	1390167.06068
sub-004_T1w	6279.0	243.7	16519.8	54896.1	8041.9	3764.3	5265.3	2120.6	827.5	1257.9	20801.8	4768.1	2154.5	782.1	668.6	4473.6	0.0	540.2	6858.1	138.8	14770.5	54740.1	7848.7	4245.9	5337.8	2065.7	5098.5	2177.0	591.6	4497.8	4.4	482.7	0.0	1001.6	0.0	0.0	0.0	0.0	0.0	132.9	1161.6	683.1	493.2	747.2	1063.4	1325750.0	1309284.0	1309000.4076	291822.947565	286949.638313	578772.585878	263858.267896	259373.553823	523231.821719	64563.0	755374.585878	1184802.4076	1171001.4076	1166743.0	1780189.0	0.801554	1.07631	23.0	18.0	41.0	1653974.93663
sub-005_T1w	7329.4	211.7	14973.4	61265.3	7738.5	3733.7	4375.8	2023.7	787.5	2302.9	19659.7	4089.5	1885.0	928.2	564.4	3984.9	24.2	644.1	6567.8	197.7	14467.7	63728.4	7538.0	3892.7	4618.8	1954.8	4265.5	1979.4	482.7	3938.4	32.4	527.8	0.0	999.1	0.0	0.0	0.0	0.0	0.0	162.4	1066.8	562.7	728.9	580.5	1061.7	1167611.0	1148995.0	1148356.13593	242113.199026	236068.373434	478181.57246	229306.990208	228173.573265	457480.563473	58330.0	662584.57246	1011554.13593	996766.135933	994492.0	1501055.0	0.865354	1.112479	24.0	10.0	34.0	1349287.88961
sub-006_T1w	6528.0	123.9	16170.7	57615.7	7501.1	3249.2	4722.9	1877.1	737.7	1334.2	21213.7	3693.4	1610.3	903.4	517.0	4061.8	8.0	246.4	5968.5	278.2	14816.1	58245.4	7274.4	3338.1	4815.3	1872.9	3650.8	1597.6	565.0	3944.1	20.0	247.9	0.0	758.6	0.0	0.0	0.0	0.0	0.0	88.8	1254.8	593.2	473.4	613.2	1034.2	1129653.0	1113989.0	1113516.8163	240499.480322	240582.867499	481082.347821	214953.393945	214658.074529	429611.468474	55644.0	653959.347821	982857.816295	970062.816295	966733.0	1460033.0	0.827638	1.069691	17.0	17.0	34.0	1364911.2035
sub-007_T1w	3706.4	344.6	12649.8	51092.3	6546.7	3101.9	3951.1	1643.6	869.2	1110.6	15721.4	3612.7	1415.0	837.1	370.8	3413.5	28.9	290.0	3873.9	332.0	12248.0	52718.1	6214.7	3222.0	4335.3	1600.2	3613.3	1469.9	431.8	3270.9	33.6	293.9	0.0	800.7	0.0	0.0	0.0	0.0	0.0	112.5	804.6	425.9	536.8	369.1	692.8	1008660.0	997757.0	997379.993476	228886.40225	230259.115107	459145.517357	180185.368791	179563.107329	359748.476119	49256.0	613853.517357	880258.993476	872046.993476	868447.0	1408875.0	0.778372	1.087214	18.0	18.0	36.0	1295857.75516
sub-008_T1w	7272.1	200.8	14091.4	56874.6	7659.1	3339.9	4956.6	1974.5	731.8	1808.6	19763.3	3985.4	1529.4	879.8	408.2	3710.6	10.7	255.3	7221.1	361.0	12758.8	56002.5	7030.2	3458.8	4861.6	1841.1	3842.7	1572.2	523.2	3936.6	17.1	301.1	0.0	494.1	0.0	0.0	0.0	0.0	0.0	30.3	964.5	535.7	469.1	540.1	1079.5	1064183.0	1045809.0	1045744.92878	232835.208211	231742.641248	464577.849459	193650.665656	192044.413659	385695.079315	56100.0	634474.849459	924424.928775	909381.928775	906423.0	1389504.0	0.814314	1.06325	23.0	24.0	47.0	1306845.3774
sub-009_T1w	4734.9	233.0	15185.5	62017.6	7146.0	3062.7	4189.4	2020.8	916.2	1118.4	19059.2	3763.9	1534.0	913.0	406.8	3570.3	15.2	288.6	6366.3	315.8	14744.9	63321.0	6390.5	3116.5	5321.1	1846.9	3872.7	1612.1	552.2	3636.6	22.8	383.6	0.0	920.5	0.0	0.0	0.0	0.0	0.0	114.7	1033.4	563.7	703.6	760.5	893.0	1050183.0	1035591.0	1035284.14511	217219.699287	217727.273071	434946.972358	196278.20097	195396.971785	391675.172755	52935.0	614665.972358	895168.145114	883379.145114	879753.0	1422175.0	0.78306	1.060433	16.0	9.0	25.0	1341126.85205
sub-010_T1w	4837.3	246.9	18897.5	73250.0	8601.8	3396.3	3880.6	1729.5	1010.8	1682.1	22926.6	4074.9	1576.2	1075.1	513.3	3977.3	9.7	281.8	4303.9	296.9	18529.4	73448.9	7729.2	3479.1	4695.7	1686.0	4407.3	1730.3	593.7	4114.7	0.0	256.3	0.0	885.5	0.0	0.0	0.0	0.0	0.0	152.0	805.2	336.4	703.6	491.7	606.8	1133785.0	1120427.0	1119931.47331	233595.17192	235546.385566	469141.557486	204322.253501	204957.662323	409279.915823	57192.0	674505.557486	948828.473309	939181.473309	935951.0	1513570.0	0.812476	1.084632	25.0	28.0	53.0	1395468.25857
